,Question,Answer,explanationifFalse,AnswerShort
21,"Zowel Umberto Eco als Roy Bhaskar hebben fundamentele kritiek op het postmodernisme. Beiden stellen dat er wel degelijk een wereld en feiten bestaan die onafhankelijk zijn van onze kennis en meningen erover en keren aldus terug naar het oude positivistische ideaal.
","[ p. 242-244 ]
","Umberto Eco zegt dat zowel de rechten van de interpreterende lezer als die van de geïnterpreteerde tekst dienen beschermd te worden. Beide hebben elkaar nodig. We kunnen niet om het even hoe lezen. Voor degenen die het aloude positivisme terecht ‘passé’ achten, en voor de velen die van het postmoderne scepticisme en relativisme een ijl hoofd krijgen, biedt Roy Bhaskars wetenschappelijke of kritisch realisme een valabel alternatief. Hij grijpt terug naar de redelijkheid van weleer, die meent dat de wereld en de feiten wel degelijk bestaan onafhankelijk van onze kennis van de gebeurtenissen […]
",f
22,"De Duitse Verlichtingsfilosoof Hegel ontwierp een cyclische opvatting over de geschiedenis: de mens evolueert volgens hem van kindsheid (China), via jeugd (Griekenland) en mannenjaren (Rome) naar rijpheid (Germaanse beschaving).
","[ p. 260 ]
","Vele rechte-lijn-theorieën zien de geschiedenis als een permanent proces van vooruitgang, waarin de mens steeds evolueert naar een beter bestaan of naar een ideaal eindpunt. […] Hegel ziet de geschiedenis als een proces waarin de rede de mensheid naar een toestand van steeds meer bewust beleefde vrijheid brengt. Bij Hegel evolueert de mens van  kindsheid (China), via jeugd (Griekenland) en mannenjaren (Rome) naar rijpheid (Germaanse beschaving).
",f
23,"Franse analisten van film benaderen de film vooral aan de hand van externe elementen (productie en receptie van de film), de Angelsaksische benadering besteedt in de eerste plaats aandacht aan de interne elementen als betrof het een tekst. De Deen Fledelius ontwierp een model ‘de klok’ dat beide recht laat wedervaren.
","[ p. 232 ]
","In de filmanalyse hebben de Franse structuralisten steeds de film behandeld alsof hij een tekst was, zowel inzake vormelijke als inhoudelijke aspecten, als een stuk geschiedenis van ideeën en mentaliteiten. De Angelsaksische contextuele benadering schenkt vooral aandacht aan de productie en de receptie van de film, en aan de ideologische elementen die er door de geldschieters ingelegd of door het publiek bij het zien in onderkend worden. Omdat beide analyses elkaars invalshoeken onderbelicht laten, heeft de Deen K. Fledelius een model bedacht , de ‟klok‟, dat aan alle aspecten tegelijk recht doet wedervaren.
",f
24,"Met een tussenarchief wordt verholpen aan de moeilijkheden die ontstaan door het overdadig produceren van bronnenmateriaal: archivarissen selecteren er archiefdocumenten in functie van de dominante historische vraagstelling en vernietigen wat overblijft.
","[ p. 45 ]
","Deskundige vernietiging van bronnenmateriaal verloopt het vlots via de formule van het tussenarchief. Hierbij worden archieven gezonden naar de archief-producerende organismen, zowel openbare als private instellingen,  om ter plekke een selectie uit te voeren tussen wat wel en niet moet worden opgeslagen. De formule houdt in dat, zodra een document zijn directe administratieve functie verliest waardoor het in de levende instelling moest blijven om efficiënt te zijn maar tegelijk voor die administratie zijn actualiteit nog niet geheel verloren heeft het kan verhuizen naar een tussendepot. Zodra de actualiteitswaarde geheel verdwenen is, kan het document naar een klassiek archief worden overgedragen.
",f
25,"De grote reeksen met bronnenuitgaven (zoals de Monumenta Germaniae Historica in Duitsland) uit de 19e eeuw zijn het resultaat van de toen dominante romantische opvatting over het verleden en over de nationale grootheid, het positivisme heeft ze nadien afgezworen.
","[ p. 57 ]
","De gouden eeuw van de prestigieuze en monumentale reeksen van bronnenuitgaven is de 19e eeuw. De ondernemingen zijn zowel kinderen van de romantiek als van het positivisme. Romantisch is dat ze bijna allemaal werden opgezet binnen nationale grenzen en zich vaak onverbloemd aandienen als hulde aan die nationale staat. Deze ondernemingen zijn ook schatplichtig aan het positivisme, aan zijn eis om elke bewering hard te maken met een bewijsplaats en de eis voor een solide uitgaventechniek. Deze laatste heeft ervoor gezorgd dat de uitgaven ‘kritisch’ werden dankzijde inbreng van filologen, classici en germanisten.
",f
26,"F. Braudel in zijn ‘Identité de la France’ en P. Nora in zijn ‘lieux de mémoire’ zijn vertegenwoordigers van een romantische stroming die het voorkomen van de nationale staat in relatie stellen tot begrippen als het volk en de volksziel.
","[ p. 265 ]
","In Frankrijk publiceerde Fernand Braudel zijn ‘Identité de la France’. In feite bezorgt hij, in volle Annales-traditie, toch een nuchtere analyse van de demografische, sociale en institutionele componenten die Frankrijk specifiek maken. Even weinig ‘romantisch’ is ‘Les lieux de mémoire’ van Pierre Nora, een erudiete inventaris van de ‘plaatsen’, symbolen en teksten die cruciaal zijn voor de nationale identiteit van Frankrijk.  (i.t.t. Jules Michelet)
",f
27,"In zijn kritiek op de methode Lachmann heeft J. Bédier het probleem gesteld ‘wat is fout’, hoe weten we wat fout is vooraleer het origineel is hersteld? Het bepalen van fouten wordt derhalve uitgesteld tot het einde van de procedure, in de plaats daarvan maakt men gebruik van bruikbare en niet-bruikbare varianten.
","[ p. 109 ]
","Op de geschetste methode van Lachmann is achteraf heel wat kritiek gekomen. Joseph Bédier  had vastgesteld dat de meeste tot dan toe opgestelde stambomen voor de uitgave van middeleeuwse Franse teksten, de formule van de dubbele tak vertonen, dus dat alle teksten twee families zouden vormen. Een ander criticus was Dom Quentin. Hij heeft het probleem van de notie ‘fout’ gesteld, die cruciaal is in de Lachmann-methode. hoe weten we wat fout is vooraleer de oertekst is hersteld? Het bepalen van fouten moet dus worden uitgesteld tot het einde van de procedure, en de herstellingskritiek beperkt tot het reconstrueren van het archetype en niet van het origineel. Quentin maakt een selectie van bruikbare en niet-bruikbare varianten.
",f
28,"De Europese culturen zijn superieur over de niet-Europese volkeren, dank zij hun indrukwekkende wetenschappelijke en technologische creativiteit, zoals M. Adas in 1989 nog aantoonde.
","[ p. 181 ]
","Europeanen ontwikkelden van de 16e tot de 20e eeuw de theorie van hun superioriteit over de niet-Europese volkeren, niet zozeer op grond van hun kwalitatief hoogstaande politieke systemen of godsdienst, dan wel door hun indrukwekkende wetenschappelijke en technologische creativiteit. M. Adas toonde dat dit een onbillijke en grotendeels onjuiste beeldvorming is die vanaf 1500 geconstrueerd werd door westerse ideologen, vooral als een discours om de koloniale overheersing te legitimeren.
",f
29,"Angelsaksische anti-marxisten als Hobsbawn, Thomson, Hilton en Wallerstein formuleerden na WO II heftige kritiek op de te mechanische binding tussen de sociaal-economische ‘onderbouw’ en de ideologische ‘bovenbouw’.
","[]
","leeg
",f
30,"De Italiaanse arts Giovanni Morelli baseerde zich in 1874-76 op de theorie van Sigmund Freud over de onbewuste handelingen voor zijn theorie van het ‘oorlelletje’.
","[ p. 73 ]
","Giovanni Morelli, een Italiaanse arts, publiceerde in 1874-76 onder een Russische schuilnaam Lermolieff, een artikel dat poneerde dat vele attributies van schilderijen fout zijn omdat ze steunen op de meest opvallende, maar dus ‘gemakkelijk’ te imiteren kenmerken. Men moet minder letten op de opvallende roze billen van de modellen van de schilder Renoir dan op hun oorlelletje. Deze theorie van het oorlelletje is verwant met die van Sigmund Freud over de onbewuste handelingen in de psychiatrie. Arts Freud refereert trouwens expliciet naar de these van arts Morelli.
",f
31,"De Franse neomarxist G. Bois keert in zijn ‘Crise de la féodalité’ (1976) en ‘La grande dépression médiévale’ (2000) terug naar het strakke, orthodoxe marxisme.
","[]
","leeg
",f
32,"Films zijn, net als romans, poëzie en theater geschikte bronnen om de mentaliteit van vroegere en huidige generaties te meten. Ze registreren feilloos de overgang van bijvoorbeeld een preutse naar een mee permissieve samenleving en reflecteren op een directe wijze de opvattingen van de groepen waarover ze als fictie-element handelen.
","[ p. 158 ]
","Een geprivilegieerde bron om de mentaliteit van vroegere en huidige generaties te kennen, maar ook om binnen te dringen in de representatie van een bepaalde samenleving is fictie, met name romans, poëzie, theater, fictiefilms. De Engelse films tussen 1950 en 1970 laten toe op de voet te volgen hoe de Victoriaanse moreel-preutse Engelse samenleving van de jaren ’50 geleidelijk vergleed in de open ‘permissive society’ van de jaren ’60, die op haar beurt vervangen werd door een multiculturele samenleving met haar specifieke samenlevingsproblemen en de niet eenvormige verhouding tussen de geslachten. Fictie is een goede seismograaf voor mentale en sociale mutaties. Ze dient echter met veel omzichtigheid te worden gebruikt indien men wil weten van wat ze een spiegel was en op wie ze impact had.
",f
33,"Volgens N. Wachtel (1971) was de confrontatie tussen Inca’s en Spaanse veroveraars er een tussen een zegevierende Westerse cultuur en een overwonnen Incacultuur die passief de andere cultuur overnam. De ‘histoire immobile’ van de Inca’s kwam aldus definitief aan haar einde.
","[ p. 276 ]
","Nathan Wachtel keek als etnograaf en als historicus naar de Spaanse conquistadores door de ogen van de Inca’s, door hun kronieken te lezen en hun orale verhalen te reconstrueren. Het ging voor die Inca’s om een breuk met hun histoire immobile. De confrontatie met de nieuwe cultuur leidde tot overname ervan, maar ook tot weerstand. Wachtel ontdekte dat het geen eenrichtingsverkeer was van passief overnemen van westerse cultuur. Hij vond dat de Inca’s oppervlakkig overnamen en vooral dat veel pre-koloniale structuren en culturele attitudes de kaap van de kolonisatie overleefden. Er was tweemaal een histoire immobile: één die verdween in de cultuurovername en één die overleefde over de breuk van de kolonisaties heen.
",f
34,"Entropie, een hoge graad van voorspelbaarheid en derhalve lage informatiegraad, impliceert niet dat de boodschap zonder betekenis zou zijn.
","[ p. 40 ]
","In de communicatiewetenschap onderscheidt men redundantie en entropie, respectievelijk een hoge en een lage graad van voorspelbaarheid in een boodschap. Bij entropie is de informatiegraad het hoogst, want de boodschap is weinig voorspelbaar. Bij redundantie is dit net omgekeerd.
",f
35,"Een interpolatie is een bewuste correctie ter goeder trouw, uitgevoerd door de uitgever van een tekst, ze wordt met de aanduiding ‘sic’ gesignaleerd.
","[ p. 105 ]
","Correctie te kwader trouw bestaan in het vervangen van woorden of zinnen door andere, het inschuiven van zinnen in het model bij het kopiëren, met het doel zich bepaalde rechten illegaal toe te eigenen of een ideologie te verdedigen. Men noemt deze ingrepen interpolaties.
",f
36,"Volgens Berkhofer (Behavioural approach, 1971) voert de intuïtieve aanpak tot het dooreenhaspelen van het niveau van de ‘historical actors’ en van de ‘observer’. Hij stelt dan ook voor met deze laatste helemaal geen rekening te houden.
","[ p. 197 ]
","De intuïtieve aanpak leidt fataal tot het door elkaar haspelen van het niveau van de ‘historical actors’ en dat van de ‘observer’. In ruil stelt Berkhofer een behavioural approach voor, waarbij respectievelijk de interne componenten die het handelen bewust of onbewust bepalen en de extern waarneembare manifestaties uit elkaar worden gehouden. De onderzoeker komt op grond van het externe tot inzicht in het interne. Men moet wel de actor’s conceptions en de observer’s constructs streng methodisch gescheiden houden.
",f
37,"Met ‘provocatie van de site’ wordt bedoeld: het genadeloos omspitten van een waardevolle archeologische site, waarbij het slechts eenmaal leesbaar bronnenmateriaal onherroepelijk verloren gaat.
","[ p. 196 ]
","De ‘provocatie van de site’ is het ondervragen op de plaats waar de getuige een dramatische gebeurtenis meemaakte (vb. overlevende van nazi kamp laten getuigen op die plek).
",f
38,"Statistici onderscheiden in het verleden verschillende types bewegingen van ongelijke duur met elk een specifieke dynamiek: de Juglar-cycli van middelmatige duur, visueel waarneembare crisissen; de seculaire trends (cycli van Kondratieff) of trage bewegingen op structureel niveau; de long-run bewegingen die in een A-faze (stijgende prijzen en productie) en een B-faze (stagnatie en dalende productie) uiteenvallen.
","[ p. 195 ]
","De economist Joseph Schumpeter onderscheidde in zijn werk ‘Business Cycles’ drie types van bewegingen in de economie: korte cycli, tussencycli en langetermijn cycli. De Franse economist Clément Juglar definieerde als een der eerste cycli van middelmatige duur, visueel waarneembare crisissen,… Deze cycli corresponderen ongeveer met het evenementiële niveau. Nikolai Kondratieff definieerde de long-run-bewegingen als de opeenvolging van een fase A waarin prijzen en productie stijgen, en een fase B waarin stagnatie optreedt of de prijzen en productie dalen. Deze cycli liggen op het conjunctureel niveau. Op nog langere termijn ontdekte men seculaire trends, met telkens een fase waarin nieuwe factoren de vooruitgang veroorzaken en een tweede fase waarin die factor verdwijnt.
",f
39,"M. Bloch (in zijn apologie van 1941) heeft een ander bezwaar tegen Lachmann naar voren gebracht: de kopiist van kopie C kan varianten die kopiist B in strijd met het origineel A heeft ingevoerd weer uitschakelen door ‘open’ te kopiëren. In dit verband ziet hij meer heil in de ‘lectio difficilior’ (letterlijk: een moeilijker lezing): een variant die banaler is dan een andere, dus gemakkelijker te lezen, is normaal afgeleid van die andere. De voorkeur gaat uit naar de moeilijke variant/lezing die meer kans heeft dichter bij het origineel te staan.
","[ p. 110 ]
","Giorgio Pasquali ziet heil in de methode van de ‘lectio difficilior, lectio melior’ (de moeilijke lezing is de beste lezing) een variant die banaler is dan een andere is normaal afgeleid van die andere omdat een kopiist bij twijfel de neiging heeft een tekst simpeler en alvast in zijn ogen begrijpelijker te maken. .
",f
40,"Dom Quentin heeft vastgesteld dat de methode Lachmann tot een mechanisch vaststellen van een tweetak voert. De meeste stambomen die waren opgesteld voor middeleeuws Franse teksten (78 op 80) vertoonden de formule van de dubbele tak (twee archetypes). Ze waren volgens hem het resultaat van een constructie van de geest eerder dan een afspiegeling van de realiteit.
","[ p. 108 ]
","Op de geschetste methode van Lachmann is achteraf heel wat kritiek gekomen. Joseph Bédier  had vastgesteld dat de meeste tot dan toe opgestelde stambomen voor de uitgave van middeleeuwse Franse teksten, de formule van de dubbele tak vertonen, dus dat alle teksten twee families zouden vormen. De onwaarschijnlijkheid van deze situatie deed de vraag stellen of de stemma’s niet al te zeer een constructie van de geest van de uitgever zijn en of er als het ware niet naar een tweetak toe wordt geredeneerd omdat de uitgever bij het afwegen fataal telkenmale tee aan twee vergelijkt. Een ander criticus was Dom Quentin. Hij heeft het probleem van de notie ‘fout’ gesteld, die cruciaal is in de Lachmann-methode  […]
",f
41,"Mentaliteiten kenmerken zich door hun lage bewustzijnsgraad, een traag evolutieritme en door een uitgesproken individueel karakter.
","[ p. 158 ]
","Mentaliteiten kenmerken zich door hun lage bewustzijnsgraad, door hun traag evolutieritme en door hun collectief karakter.
",f
42,"Wie zoals Ranke en na hem de positivisten en historisten enkel de feiten laat spreken en de geschiedenis reconstrueert ‘wie es eigentlich gewesen ist’, is totaal vrij van enig paradigma.
","[ p. 208 ]
","Wat wel misloopt met paradigma’s is dat ze vaak niet worden geëxpliceerd. Bepaalde historici beweren zelfs dat er geen paradigma aan de basis ligt van hun werk, terwijl dit in feite niet zo is. ‘De neutraliteit’ van vele positivisten en aanhangers van het historisme, met Leopold von Ranke op kop, is hier een mooi voorbeeld van. Ze beweerden een verhaal te reconstrueren ‘wie es eigentlich gewesen ist’, zonder ingreep van de onderzoeker. De ironie van het lot heeft meegebracht dat men het thans vaak heeft over het rankeaans paradigma. Daarmee wordt cynisch weg bedoeld dat die auteurs van een ‘objectief’ verhaal, dat ‘neutraal’ staat tegenover politieke en sociale toestanden en wantoestanden, in feite impliciet die (wan)toestanden goedkeuren.
",f
43,"Over het verschijnsel geweld doen verschillende evolutie-theorieën de ronde. Volgens N. Elias en T.R. Gurr is de mens van nature agressief, maar wordt deze ingesteldheid getemperd door de factor religie en beschaving.
","[ p. 97 ]
","T.R. Gurr bouwde, op basis van de Engelse rechtbankstatistieken, de these op dat het aantal moorden in de 20e eeuw vief tot tienmaal lager ligt dan in de 16e eeuw, en in de 16e eeuw dubbel zo laag als in de 13e eeuw. De socioloog Norbert Elias en zijn talrijke navolgers hebben dit beschreven als een fundamenteel cultureel verschijnsel, namelijk van groeiende affectbeheersing en toenemende staatscontrole van de late middeleeuwen naar vandaag toe.
",f
44,"P. Geyl formuleerde kritiek op de groot-Nederlandse gedachte en pleitte in zijn ‘Geschiedenis van de Nederlandsche stam’, 1930-37) voor een hollandocentrisme.
","[ p. 262 ]
","De scheiding van de noordelijke en zuidelijke Nederlanden op het einde van de 16e eeuw leidde tot een reeks Hollando-centrische geschiedenissen. Bedoeld om de nieuwe Republiek der Verenigde Provinciën een nationaal gevoelen bij e brengen en geïnspireerd door een aantal Renaissance opvattingen viel het accent vooral op het Noorden, en eigenlijk zelfs vooral op het vroegere graafschap Holland. Dit Hollando-centrisme bleef koppig doorleven tot de 20e eeuw. Pas door de kritiek van Pieter Geyl in zijn ‘Geschiedenis van de Nederlandse stam’, werd het eng Nederlandse perspectief na WO II vervangen door een Groot-Nederlandse optiek.
",f
45,"R. Tawney wees dan weer op de technologische, geografische en materiële omstandigheden die bij de opkomst van het kapitalisme een rol hebben gespeeld.
","[ p. 192 ]
","R.H. Tanwney en A. Fanfani hebben Webers opvattingen genuanceerd door erop te wijzen dat het kapitalisme even sterk is opgebloeid in de katholieke landen van de 16e eeuw en zelfs al voordien voorkwam in bepaalde geografische contexten.
",f
